Altium Designer Pick and Place Locations
D:\my_pcd_design\1A_LY2337_(EE19)\Project Outputs for TS1A\Pick Place for TS1A(EE19)9-7.txt

========================================================================================================================
File Design Information:

Date:       26/08/19
Time:       16:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment           Center-X(mm) Center-Y(mm) Rotation Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) 
BD1        MB10S/SOP-4       97.1550      52.5780      180      97.1550   52.5780   98.3550   55.5780   
C1         10uF/400V         99.2270      64.8970      180      101.7270  64.8970   101.7270  64.8970   
C2         1nF/1206/500V/10% 107.5690     68.3260      360      107.5690  68.3260   106.0690  68.3260   
C3         10uF/50V          105.4100     46.1010      360      105.4100  46.1010   105.4100  47.3329   
C5         1000uF/16V        133.4770     61.0870      180      133.4770  61.0870   135.9770  61.0870   
CY1        1nF/1206/500V/10% 117.4750     68.5800      360      117.4750  68.5800   115.9750  68.5800   
D1         FR107/SOD-123     120.3960     46.3060      90       120.3960  47.7810   120.3960  47.7810   
D2         FR107/SOD-123     108.0770     61.5460      270      108.0770  60.0710   108.0770  60.0710   
D3         SS310/SMA         133.7310     68.4530      180      133.7310  68.4530   131.5960  68.4530   
F1         ±£œ’Àø3A/250V        100.7110     45.5610      90       100.7110  46.0610   100.7110  42.5610    
Q1         AO3400            130.0480     50.1650      270      130.0480  50.1650   131.2230  50.1650   
R1         120K/1206/5%      107.5690     65.9130      360      107.5690  65.9130   106.0690  65.9130   
R2         6.8M/1206/5%      102.6160     54.6100      90       102.6160  54.6100   102.6160  53.1100   
R3         10R/1206/5%       117.9830     42.1640      360      117.9830  42.1640   116.4830  42.1640   
R4         20K/1206/1%       117.3480     46.2520      90       117.3480  46.2520   117.3480  44.7520   
R5         2.1K/1206/1%      114.9350     46.2280      90       114.9350  46.2280   114.9350  44.7280   
R6         5.1K/1206/5%      130.6830     54.2290      360      130.6830  54.2290   129.1830  54.2290   
R7         1.8R/1206/5%      112.5220     46.2280      270      112.5220  46.2280   112.5220  47.7280   
R8         1.8R/1206/5%      110.1090     46.2280      270      110.1090  46.2280   110.1090  47.7280   
R9         10K/1206/5%       129.7940     45.7999      180      129.7940  45.7999   131.2940  45.7999   
T1         TRANS             119.2800     58.1999      0        113.0300  64.1999   113.0300  64.1999   
U1         LY2337/SOP-7      107.3150     54.6100      90       107.3150  54.6100   105.4100  51.6160   
 
